"source_taxon_name","interaction_type","target_taxon_name","latitude","longitude","Area"
"Granulovirus","pathogenOf","Pontia",35.68536,139.75309,"Temperate Asia"
"Granulovirus","pathogenOf","Parasa consocia",35.68536,139.75309,"Temperate Asia"
"Granulovirus","pathogenOf","Parasa sinica",35.68536,139.75309,"Temperate Asia"
"Granulovirus","pathogenOf","Caloptilia",35.68536,139.75309,"Temperate Asia"
"Granulovirus","pathogenOf","Carposina",35.68536,139.75309,"Temperate Asia"
"Granulovirus","pathogenOf","Clostera anachoreta",35.68536,139.75309,"Temperate Asia"
"Granulovirus","pathogenOf","Hellula undalis",35.68536,139.75309,"Temperate Asia"
"Granulovirus","pathogenOf","Pieris rapae",35.68536,139.75309,"Temperate Asia"
"Granulovirus","pathogenOf","Rhyacionia duplana",35.68536,139.75309,"Temperate Asia"
"Granulovirus","pathogenOf","Matsumuraeses phaseoli",35.68536,139.75309,"Temperate Asia"
"Granulovirus","pathogenOf","Cnidocampa flavescens",35.68536,139.75309,"Temperate Asia"
"Granulovirus","pathogenOf","Chilo suppressalis",35.68536,139.75309,"Temperate Asia"
"Granulovirus","pathogenOf","Agrotis segetum",35.68536,139.75309,"Temperate Asia"
"Granulovirus","pathogenOf","Plutella xylostella",35.68536,139.75309,"Temperate Asia"
"Granulovirus","pathogenOf","Parasa lepida",35.68536,139.75309,"Temperate Asia"
"Granulovirus","pathogenOf","Agrotis",35.68536,139.75309,"Temperate Asia"
"Granulovirus","pathogenOf","Trichoplusia ni",35.68536,139.75309,"Temperate Asia"
"Granulovirus","pathogenOf","Spodoptera exigua",35.68536,139.75309,"Temperate Asia"
"Granulovirus","pathogenOf","Cadra cautella",35.68536,139.75309,"Temperate Asia"
"Granulovirus","pathogenOf","Dendrolimus",35.68536,139.75309,"Temperate Asia"
"Granulovirus","pathogenOf","Helicoverpa armigera",35.68536,139.75309,"Temperate Asia"
"Granulovirus","pathogenOf","Choristoneura longicellana",35.68536,139.75309,"Temperate Asia"
"Granulovirus","pathogenOf","Mythimna",35.68536,139.75309,"Temperate Asia"
"Granulovirus","pathogenOf","Spodoptera litura",35.68536,139.75309,"Temperate Asia"
"Granulovirus","pathogenOf","Hyphantria cunea",35.68536,139.75309,"Temperate Asia"
"Granulovirus","pathogenOf","Pieris napi",35.68536,139.75309,"Temperate Asia"
"Granulovirus","pathogenOf","Archips",35.68536,139.75309,"Temperate Asia"
"Granulovirus","pathogenOf","Cnaphalocrocis medinalis",35.68536,139.75309,"Temperate Asia"
"Granulovirus","pathogenOf","Clostera inclusa",35.68536,139.75309,"Temperate Asia"
"Granulovirus","pathogenOf","Xestia c-nigrum",35.68536,139.75309,"Temperate Asia"
"Granulovirus","pathogenOf","Amsacta lactinea",35.68536,139.75309,"Temperate Asia"
"Granulovirus","pathogenOf","Adoxophyes",35.68536,139.75309,"Temperate Asia"
"Granulovirus","pathogenOf","Erinnyis ello",4,-73.25,"Tropical South-America"
"Granulovirus","pathogenOf","Spodoptera littoralis",8,-5.5,"Tropical Africa"
"Granulovirus","pathogenOf","Achaea janata",15.5,101,"Tropical South Asia"
